Details of the Performance of the Portfolio : ,out/UnderThreshold_5.0_$_event_on_sp5002008_perfom_summary.csv
Date Range : ,2008-02-06 16:00:00 to 2009-12-02 16:00:00
Transactions : ,652
Sharpe Ratio of Fund : ,0.36699292024 
Sharpe Ratio of SPY : ,-0.0306399092083
Total Return of Fund : ,1.06902
Total Return of SPY : ,0.871414441147
Standard Deviation of Fund : ,0.00746187278957
Standard Deviation of SPY : ,0.0226195039476
Average Daily Return of Fund : ,0.000172506417746
Average Daily Return of SPY : ,-4.36586477592e-05
